,0,1
None,0.0,0.14538496029174316
"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12, 12, 13, 13, 13, 13]",0.16125493221869558,0.11078354714648439
"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12, 13, 13, 13]",0.0,0.05
"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 10, 11, 11, 11, 11, 12, 12, 12, 13]",-0.05,0.0
"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 12, 12, 13]",0.05,0.0
"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 7, 8, 8, 9, 9, 9, 10, 10, 11, 11, 11, 11, 12, 12, 13]",0.0,0.0
"[1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 6, 8, 9, 9, 9, 10, 10, 11, 11, 11, 12, 12, 13]",0.0,-0.05
"[1, 1, 2, 2, 2, 3, 3, 4, 5, 5, 5, 6, 8, 9, 9, 10, 10, 11, 11, 11, 12, 13]",0.0,-0.05
"[1, 2, 2, 3, 3, 4, 5, 5, 6, 8, 9, 10, 10, 11, 11, 12]",-0.05,0.0
"[3, 3, 4, 5, 5, 8, 9, 11, 11, 12]",0.0,0.05
"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 12, 13, 13, 13, 13]",0.0,-0.05
"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 12, 13, 13, 13, 13]",0.05,0.0
"[1, 1, 1, 2, 2, 2, 3, 5, 5, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 12, 13, 13, 13]",0.0,-0.05
"[1, 1, 1, 2, 2, 2, 3, 5, 5, 6, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 12, 13, 13]",0.0,0.05
"[1, 1, 2, 2, 2, 5, 5, 6, 7, 8, 8, 8, 9, 9, 9, 10, 11, 11, 12, 12, 12, 12, 13, 13]",0.05,0.0
"[1, 1, 2, 2, 2, 5, 5, 6, 8, 9, 9, 10, 11, 11, 12, 12, 12, 13, 13]",0.05,0.0
"[1, 1, 2, 2, 5, 5, 6, 8, 9, 9, 10, 11, 12, 12, 13]",0.0,-0.05
"[1, 1, 2, 5, 6, 9, 10, 11, 12, 13]",0.0,0.0524975
